degreeCutoff,p,lambda,meanLS,medianLS,R,G,GompAIC,WeibAIC
4,0.7,0.013333333,12.74633046,11.82200874,0.03477725,0.077136109,13506.34288,13580.39649
4,0.8,0.013333333,20.18278325,20.27898101,0.012155238,0.088163383,14526.45065,14539.70762
4,0.9,0.013333333,28.73330144,29.19153674,0.003825251,0.09920895,14866.12226,14790.71372
4,1,0.013333333,36.35885081,36.51588141,0.001335809,0.107784232,14801.2292,14616.24152
4,0.7,0.01,16.75073735,15.9452715,0.025625229,0.060692299,14591.15617,14751.65388
4,0.8,0.01,27.15371399,26.93727117,0.00850318,0.06842066,15641.77539,15685.19137
4,0.9,0.01,38.6688898,39.08965343,0.002390415,0.079749495,15813.85909,15698.61924
4,1,0.01,48.86515,48.7738464,0.001128723,0.077223702,16056.48114,15790.5981
4,0.7,0.008,21.51859356,20.21503159,0.021116902,0.044090247,15639.29979,15720.4481
4,0.8,0.008,34.3329832,34.05948803,0.0064556,0.055607756,16538.50838,16638.99583
4,0.9,0.008,48.14830741,48.21327003,0.002146754,0.061011341,16828.82144,16699.92702
4,1,0.008,60.66946324,61.05102305,0.000941489,0.061318556,16995.53564,16773.42888
4,0.7,0.006666667,25.60375127,24.28705404,0.016672489,0.040206341,16262.6917,16379.99704
4,0.8,0.006666667,40.62177125,40.76070145,0.005624867,0.046060085,17242.06312,17273.35195
4,0.9,0.006666667,57.54394021,57.61608761,0.001814994,0.050836102,17549.45378,17395.86276
4,1,0.006666667,73.42598716,74.04672734,0.000741273,0.05159149,17679.94034,17428.30514
4,0.7,0.005714286,29.01974612,26.85311385,0.015089942,0.03436463,16789.80865,16875.17181
4,0.8,0.005714286,47.53235046,47.53218707,0.004836825,0.039327626,17852.64887,17879.7454
4,0.9,0.005714286,66.90715512,67.40719189,0.001729221,0.041816879,18253.54692,18143.58459
4,1,0.005714286,86.27378964,86.2836392,0.000546368,0.04590195,18212.33096,17998.52905
4,0.7,0.005,32.98188583,31.82720392,0.012827671,0.031516536,17269.72134,17422.03241
4,0.8,0.005,54.68546323,54.4170088,0.004467023,0.032583721,18520.69417,18605.9579
4,0.9,0.005,76.82026834,77.50397618,0.001431929,0.037208132,18765.57563,18635.26893
4,1,0.005,97.69160104,98.50371787,0.000499935,0.040093462,18740.95273,18537.12503
